SRR1197370	SRR1197370.sra
SRR767606	SRR767606.sra
SRR1197368	SRR1197368.sra
SRR767626	SRR767626.sra
SRR767609	SRR767609.sra
SRR1197333	SRR1197333.sra
SRR767615	SRR767615.sra
SRR767616	SRR767616.sra
SRR1197369	SRR1197369.sra
SRR1197332	SRR1197332.sra
SRR1197331	SRR1197331.sra
SRR1197330	SRR1197330.sra
SRR1197363	SRR1197363.sra
SRR1197327	SRR1197327.sra
SRR1197329	SRR1197329.sra
SRR1197366	SRR1197366.sra
SRR1197328	SRR1197328.sra
SRR1197375	SRR1197375.sra
SRR1197298	SRR1197298.sra
SRR1197378	SRR1197378.sra
SRR1197351	SRR1197351.sra
SRR1197347	SRR1197347.sra
SRR1197345	SRR1197345.sra
SRR1197306	SRR1197306.sra
SRR1197386	SRR1197386.sra
SRR1197384	SRR1197384.sra
SRR1197304	SRR1197304.sra
SRR1197412	SRR1197412.sra
SRR1197312	SRR1197312.sra
SRR1197392	SRR1197392.sra
SRR1197308	SRR1197308.sra
SRR1197388	SRR1197388.sra
SRR1197408	SRR1197408.sra
SRR1197307	SRR1197307.sra
SRR1197387	SRR1197387.sra
SRR1197353	SRR1197353.sra
SRR1197354	SRR1197354.sra
SRR1197348	SRR1197348.sra
SRR1197291	SRR1197291.sra
SRR1197371	SRR1197371.sra
SRR1197346	SRR1197346.sra
SRR1197460	SRR1197460.sra
SRR1197279	SRR1197279.sra
SRR1197275	SRR1197275.sra
SRR1197273	SRR1197273.sra
SRR1197274	SRR1197274.sra
SRR1197276	SRR1197276.sra
SRR1197272	SRR1197272.sra
SRR1197294	SRR1197294.sra
SRR1197486	SRR1197486.sra
SRR1197485	SRR1197485.sra
SRR1197484	SRR1197484.sra
SRR1197481	SRR1197481.sra
SRR1197293	SRR1197293.sra
SRR1197472	SRR1197472.sra
SRR1197473	SRR1197473.sra
SRR1197474	SRR1197474.sra
SRR1197362	SRR1197362.sra
SRR1197361	SRR1197361.sra
SRR1197359	SRR1197359.sra
SRR1197296	SRR1197296.sra
SRR1197480	SRR1197480.sra
SRR1197483	SRR1197483.sra
SRR1197482	SRR1197482.sra
SRR1197297	SRR1197297.sra
SRR1197303	SRR1197303.sra
SRR1197383	SRR1197383.sra
SRR1197269	SRR1197269.sra
SRR1197487	SRR1197487.sra
SRR1197475	SRR1197475.sra
SRR1197372	SRR1197372.sra
SRR1197355	SRR1197355.sra
SRR1197356	SRR1197356.sra
SRR1197271	SRR1197271.sra
SRR1197270	SRR1197270.sra
SRR1197476	SRR1197476.sra
SRR1197477	SRR1197477.sra
SRR1197360	SRR1197360.sra
SRR1197358	SRR1197358.sra
SRR1197282	SRR1197282.sra
SRR1197280	SRR1197280.sra
SRR1197281	SRR1197281.sra
SRR1197402	SRR1197402.sra
SRR1197452	SRR1197452.sra
SRR1197453	SRR1197453.sra
SRR1197450	SRR1197450.sra
SRR1197447	SRR1197447.sra
SRR1197446	SRR1197446.sra
SRR1197443	SRR1197443.sra
SRR1197441	SRR1197441.sra
SRR1197439	SRR1197439.sra
SRR1197440	SRR1197440.sra
SRR1197442	SRR1197442.sra
SRR1197438	SRR1197438.sra
SRR1197437	SRR1197437.sra
SRR1197458	SRR1197458.sra
SRR1197457	SRR1197457.sra
SRR1197455	SRR1197455.sra
SRR1197456	SRR1197456.sra
SRR1197454	SRR1197454.sra
SRR1197451	SRR1197451.sra
SRR1197407	SRR1197407.sra
SRR1197410	SRR1197410.sra
_LINEAR	cdna.fa
